year;month;day;tts_sentence;tts_interval_min;theme_box_id;light_pattern_id;light_colors_id
2028;11;1;Eerste van de maand november;221;23;4;7
2028;12;1;Eerste van de maand december;165;23;4;7
2028;12;5;Sinterklaas;113;12;6;28
2028;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2028;12;25;Vrolijk Kerstfeest;95;8;26;30
2028;12;26;Tweede Kerstdag;108;8;5;20
2028;12;28;Onnozele Kinderen;77;10;26;35
2029;1;1;Gelukkig Nieuwjaar;77;24;2;40
2029;2;1;Eerste van de maand februari;249;23;4;7
2029;2;11;Carnaval, En deh hittie naw gedonn umdettie Hellemonder is;99;24;3;7
2029;2;12;RosenMoontach, Keiebijters!!;121;24;3;7
2029;2;14;Aswoensdag ,  - het is  uit met de carnavalspret;179;21;5;21
2029;2;14;Suikerfeest;175;10;7;1
2029;2;14;Valentijns en verlovingsdag;70;24;6;42
2029;2;14;Suikerfeest;252;10;7;1
2029;3;1;Eerste van de maand maart;287;23;4;7
2029;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2029;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2029;3;30;Goede Vrijdag,  tja, Goede Vrijdag?;215;13;2;13
2029;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2029;4;1;Vrolijk Pasen;71;17;9;5
2029;4;2;Tweede Paasdag, zoek de eitjes;371;17;13;19
2029;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2029;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2029;5;4;Dodenherdenking;102;21;2;31
2029;5;5;Bevrijdingsdag;64;24;3;3
2029;5;10;Hemelvaart;88;11;2;29
2029;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2029;5;20;Pinksteren;124;4;4;8
2029;5;21;Nog steeds Pinksteren;244;4;4;8
2029;6;1;Eerste van de maand juni;157;23;4;7
2029;6;24;SintJan;61;24;27;5
2029;7;1;Eerste van de maand juli;171;23;4;7
2029;8;1;Eerste van de maand augustus;231;23;4;7
2029;9;1;Eerste van de maand september;282;23;4;7
2029;10;1;Eerste van de maand oktober;277;23;4;7
2029;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2029;11;1;Eerste van de maand november;221;23;4;7
2029;12;1;Eerste van de maand december;165;23;4;7
2029;12;5;Sinterklaas;113;12;6;28
2029;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2029;12;25;Vrolijk Kerstfeest;95;8;26;30
2029;12;26;Tweede Kerstdag;108;8;5;20
2029;12;28;Onnozele Kinderen;77;10;26;35
2030;1;1;Gelukkig Nieuwjaar;77;24;2;40
2030;2;1;Eerste van de maand februari;249;23;4;7
2030;2;4;Suikerfeest;172;10;7;1
2030;2;4;Suikerfeest;226;10;7;1
2030;2;14;Valentijns en verlovingsdag;70;24;6;42
2030;3;1;Eerste van de maand maart;287;23;4;7
2030;3;3;Carnaval, Agge mar leut heht;116;24;3;7
2030;3;4;RosenMoontach, En deh hittie naw gedonn umdettie Hellemonder is;133;24;3;7
2030;3;6;Aswoensdag ,  - en dan nu: vasten;210;21;5;21
2030;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2030;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2030;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2030;4;19;Goede Vrijdag;260;13;2;13
2030;4;21;Vrolijk Pasen, waar is de paashaas??;64;17;9;5
2030;4;22;Tweede Paasdag, waar is de paashaas??;355;17;13;19
2030;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2030;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2030;5;4;Dodenherdenking;102;21;2;31
2030;5;5;Bevrijdingsdag;64;24;3;3
2030;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2030;5;30;Hemelvaart;96;11;2;29
2030;6;1;Eerste van de maand juni;157;23;4;7
2030;6;9;Pinksteren,  - wat is dat ook weer??;150;4;4;8
2030;6;10;Nog steeds Pinksteren,  - wat is dat ook weer??;250;4;4;8
2030;6;24;SintJan;61;24;27;5
2030;7;1;Eerste van de maand juli;171;23;4;7
2030;8;1;Eerste van de maand augustus;231;23;4;7
2030;9;1;Eerste van de maand september;282;23;4;7
2030;10;1;Eerste van de maand oktober;277;23;4;7
2030;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2030;11;1;Eerste van de maand november;221;23;4;7
2030;12;1;Eerste van de maand december;165;23;4;7
2030;12;5;Sinterklaas;113;12;6;28
2030;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2030;12;25;Vrolijk Kerstfeest;95;8;26;30
2030;12;26;Tweede Kerstdag;108;8;5;20
2030;12;28;Onnozele Kinderen;77;10;26;35
2031;1;1;Gelukkig Nieuwjaar;77;24;2;40
2031;1;24;Suikerfeest;186;10;7;1
2031;1;24;Suikerfeest;205;10;7;1
2031;2;1;Eerste van de maand februari;249;23;4;7
2031;2;14;Valentijns en verlovingsdag;70;24;6;42
2031;2;23;Carnaval, Alaaf!!;116;24;3;7
2031;2;24;RosenMoontach, Agge mar leut heht;124;24;3;7
2031;2;26;Aswoensdag ,  - en nu begint de katholieke ramadan;251;21;5;21
2031;3;1;Eerste van de maand maart;287;23;4;7
2031;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2031;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
